"neighborhood","children","youth","working_age","preretired_age","senior","older_senior","drive_commute","passenger_commute","transit_commute","walk_commute","bike_commute","15min_commute","30min_commute","45min_commute","60min_commute","over_60min_commute","unemployment_female","employment_male","work_at_home","no_fixed_workplace","work_outside_canada","avg_total_income","avg_employment_income","avg_investment_income"
"Agincourt.North",0.131899838560093,0.127262734860715,0.388314498677567,0.145295915913853,0.207639198983272,0.0317727475698142,0.245766496067049,0.0319444921512726,0.115068869577165,0.00910246281729812,0.00240442414041837,0.0553017552296225,0.109057809226119,0.100985813897572,0.0484319719712843,0.091711606498815,0.000364098512691925,0.000309140246625219,0.0200941160306392,0.0511798852746196,0.00377838079208601,30414,31860,3646
"Agincourt.South.Malvern.West",0.129435534789746,0.141431998989771,0.419455318432462,0.137433177589763,0.172791177337206,0.0233615355474176,0.258239676726859,0.0279917498000589,0.125647177673949,0.0117859999158143,0.00147324998947679,0.0612451067053921,0.1151239634634,0.105863534958118,0.0517742139158985,0.0938670707580923,0.000454602853895694,0.000370417140211306,0.0265184998105821,0.0574567495895946,0.00315696426316454,31825,33908,4380
"Alderwood",0.14600962336154,0.102455616392899,0.433051269288203,0.151402024224324,0.167164426746308,0.0265472042475527,0.339306454289033,0.0294508047121288,0.106603617056579,0.0161772025883524,0.00539240086278414,0.100381616061059,0.150572424091588,0.124025219844035,0.0522648083623693,0.0742492118798739,0.000564128090260494,0.000447984071677451,0.0294508047121288,0.0738344118135059,0,47709,49899,4820
"Annex",0.0773111445980476,0.122846098407915,0.492694752014676,0.114001179322545,0.193605451090873,0.0340693179584616,0.10777697700321,0.00950009827687873,0.203105549367752,0.10482867064142,0.0548712572888685,0.0763283758107842,0.205071086942279,0.131035838301776,0.0461901330013759,0.0296468584157767,0.000219485029155474,0.000226036821070563,0.0730524798532399,0.0447159798204809,0.0058966127235799,112766,102593,44538
"Banbury.Don.Mills",0.130167900343022,0.0985737497743275,0.390323163025817,0.128362520310525,0.251850514533309,0.0592164650658964,0.258169344647048,0.0180538003249684,0.106336883914064,0.0222061743997111,0.00234699404224589,0.0612023831016429,0.12547391225853,0.112294638021303,0.0556057050009027,0.0565083950171511,0.000296082325329482,0.000231088644159596,0.0534392489619065,0.0431485827766745,0.00469398808449179,67757,63371,20893
"Bathurst.Manor",0.146475146475146,0.122220122220122,0.419265419265419,0.127890127890128,0.185220185220185,0.0447300447300447,0.246330246330246,0.0166950166950167,0.180810180810181,0.0135450135450135,0.000945000945000945,0.0535500535500536,0.11025011025011,0.133560133560134,0.0922950922950923,0.0743400743400743,0.000485100485100485,0.00040950040950041,0.0387450387450387,0.0696150696150696,0.00157500157500157,45936,46786,10273
"Bay.Street.Corridor",0.0657053145714618,0.265922394076831,0.506454238864984,0.0682249874016359,0.0938093576772493,0.0127921851378067,0.0690002713493817,0.00639609256890336,0.137225258751018,0.226382912741792,0.0125983641508703,0.123076326704656,0.189944567197736,0.0852812342520448,0.0267472961972322,0.0331433887661356,0.000430282590998953,0.000368259875179284,0.053300771407528,0.0329495677791991,0.0102725123076327,56526,63009,17050
"Bayview.Village",0.112871564778463,0.117077958496915,0.481865769302673,0.118713778276313,0.168956814357824,0.0285100018695083,0.246307721069359,0.0179940175733782,0.172695830996448,0.0161245092540662,0.00140213123948402,0.0401944288652085,0.119648532435969,0.143251074967284,0.087165825387923,0.0691718078145448,0.000401944288652084,0.000317816414283044,0.0486072163021125,0.0427650028042625,0.00537483641802206,52035,51853,14638
"Bayview.Woods.Steeles",0.115174091531093,0.124296791850388,0.341341036946936,0.138741067355937,0.280142922305002,0.0562566519689828,0.2219857077695,0.018245400638589,0.122396229283868,0.00836247529268663,0.000760225026607876,0.036490801277178,0.105291166185191,0.10034970351224,0.0585373270488064,0.0760225026607876,0.00073741827580964,0.000478941766762962,0.0501748517561198,0.0406720389235214,0.00646191272616695,47246,45292,11674
"Bedford.Park.Nortown",0.196032019280427,0.138147701841969,0.361938371492512,0.132337751764503,0.171285935617146,0.0284042003787227,0.255637803408504,0.0152780168703736,0.103933551385781,0.0236701669822689,0.003873300051644,0.0671372008951627,0.131692201755896,0.128894818385264,0.0516440006885867,0.0312015837493545,0.000241005336546738,0.000228094336374591,0.0673523842313651,0.0335686004475813,0.00430366672404889,123077,112273,41765
"Beechborough.Greenbrook",0.170290405960164,0.129998479549947,0.418123764634332,0.134559829709594,0.14672343013532,0.0220465257716284,0.187775581572145,0.0266078759312757,0.168009730880341,0.0152045005321575,0.0030409001064315,0.0387714763570017,0.0828645279002585,0.119355329177437,0.0699407024479246,0.0935076782727687,0.00206781207237342,0.00136840504789418,0.0159647255587654,0.0745020526075718,0,33829,35218,5056
"Bendale",0.151869158878505,0.153704939919893,0.402202937249666,0.117990654205607,0.175233644859813,0.0300400534045394,0.215787716955941,0.020694259012016,0.156208277703605,0.0173564753004005,0.00150200267022697,0.0524032042723631,0.0949599465954606,0.103805073431242,0.0634178905206943,0.100133511348465,0.000283711615487316,0.000300400534045394,0.0176902536715621,0.0580774365821095,0.00250333778371162,33256,35897,2951
"Birchcliffe.Cliffside",0.15006056255888,0.109461217531739,0.407114979139563,0.157911264635952,0.17540711497914,0.0282625274774573,0.255484276165268,0.0215333542685389,0.144004306670854,0.0186173792113409,0.00628056166165717,0.0569736665021758,0.108563994437217,0.12426539859136,0.0785070207707146,0.0847875824323718,0.000372347584226818,0.000399264277062492,0.0361132295545287,0.0563007491812839,0.00179444618904491,54360,57365,5741
"Black.Creek",0.211620738832406,0.151354832773612,0.392188434466578,0.111560932971431,0.132032939228044,0.0170216681234761,0.185858214104982,0.0338133137047431,0.12513226296177,0.0112711045682477,0.00391038321755532,0.0439343055619451,0.105580346873994,0.0940792197635368,0.0402539448865989,0.0802778672309886,0.000648663569029765,0.000519850945392648,0.00920090168836546,0.0600358835165846,0,25989,27575,1613
"Blake.Jones",0.181829946939304,0.11453345412191,0.466545878089815,0.121651352400673,0.115827617445322,0.0148828782192313,0.139122557266727,0.0148828782192313,0.207713213407532,0.0291186747767568,0.0394719813640481,0.0446486346576938,0.124886760709202,0.155946680471075,0.0666494111556878,0.0433544713342824,0.000944739226090333,0.00122945515724084,0.0459427979811052,0.0595315128769251,0.00129416332341141,48511,53921,5666
"Briar.Hill.Belgravia",0.130111524163569,0.116083327488251,0.472750227958196,0.13502139299993,0.147296065090833,0.0217437048467419,0.201304622290805,0.021392999929859,0.25215683523883,0.021392999929859,0.00420845900259522,0.0424352949428351,0.107315704566178,0.18166514694536,0.0866241144700849,0.0883776390544995,0.000617240653713965,0.000603212457038648,0.0280563933506348,0.075401557129831,0.0010521147506488,34768,36740,3032
"Bridle.Path.Sunnybrook.York.Mills",0.154867256637168,0.153788042305202,0.333477228577595,0.164580185624865,0.19263975825599,0.026440751133175,0.241744010360458,0.0151090006475286,0.0625944312540471,0.0178070364774444,0.00377725016188215,0.0447873947766026,0.11601554068638,0.130045327001943,0.0366932872868552,0.0205050723073602,0.0008525793222534,0.000863371465573063,0.0917332182171379,0.029678394129074,0.00971292898769696,308010,308154,104514
"Broadview.North",0.127837203235064,0.0904426471867119,0.49395599617358,0.124793460300896,0.162188016349248,0.0221758413775111,0.174797808505087,0.0143490738325072,0.235672667188451,0.030002608922515,0.0256544047308462,0.0513088094616923,0.132185407426733,0.173493347247587,0.0791373162883729,0.0513088094616923,0.000747891120967041,0.000678319853900339,0.0369597356291851,0.0643534220366988,0.00217410209583442,44557,47698,4268
"Brookhaven.Amesbury",0.189221152221659,0.138536915019429,0.429408120741116,0.123050064763192,0.119952694711945,0.0160500084473729,0.215408008109478,0.0222447485498677,0.190347468603931,0.0143605338739652,0.00140789547783973,0.0428000225263276,0.103057948977868,0.124457960241032,0.0734921439432337,0.102494790786732,0.000568789773047249,0.000546263445401813,0.0143605338739652,0.0785605676634567,0.00056315819113589,32483,32454,8529
"Cabbagetown.South.St..James.Town",0.068557717028023,0.0886965464050047,0.501756791498843,0.146970605878824,0.192818579141315,0.0261376296169338,0.110977804439112,0.0102836575542034,0.172251264032908,0.154683349044477,0.0608449738623704,0.0771274316565258,0.211671951324021,0.145685148684549,0.0437055446053646,0.0407061444853886,0.00062558916788071,0.00074556517267975,0.0514182877710172,0.0398491730225383,0.00342788585140115,63012,63274,12999
"Caledonia.Fairbank",0.149673530889001,0.122551481667504,0.459065796082371,0.135610246107484,0.133098945253641,0.0165745856353591,0.207935710698142,0.0472124560522351,0.213962832747363,0.0160723254645907,0.00703164239075841,0.0346559517830236,0.103465595178302,0.152184831742843,0.104972375690608,0.103465595178302,0.00083375188347564,0.00060271220492215,0.0170768458061276,0.12054244098443,0.00150678051230537,35112,37774,2837
"Casa.Loma",0.109409190371991,0.0984682713347921,0.415299051787017,0.133570386579139,0.24389132020423,0.0360138584974471,0.185995623632385,0.0118526622902991,0.179613420860686,0.0574398249452954,0.0196024799416484,0.0592633114514953,0.180069292487236,0.152261123267688,0.0528811086797958,0.0200583515681984,0.00062910284463895,0.000565280816921955,0.0825127644055434,0.0337345003646973,0.00592633114514953,165047,146115,74095
"Centennial.Scarborough",0.160904056279,0.138452327495884,0.376440652596917,0.146310432569975,0.178491243825775,0.0119742553509954,0.295988624457417,0.0261936835803024,0.125355485705733,0.00823230055380931,0,0.0501421942822931,0.109639275557551,0.105523125280647,0.0692261637479419,0.127600658584044,0.000681035773087861,0.00046400239485107,0.0336775931746744,0.0542583445591977,0.00149678191887442,54045,53559,5203
"Church.Yonge.Corridor",0.0402042118698149,0.161455009572431,0.599234205488194,0.103222718570517,0.0960433950223357,0.00797702616464582,0.0863114231014678,0.0078174856413529,0.223356732610083,0.232131461391193,0.0220165922144225,0.119336311423101,0.233248245054244,0.129546904913848,0.0461072112316528,0.0491384811742182,0.000296745373324825,0.000252074026802808,0.0544033184428845,0.0417996171027441,0.00478621569878749,53583,55168,9404
"Clairlea.Birchmount",0.169174325526238,0.129521197746813,0.442484435220872,0.124518233026979,0.134524162466647,0.0244589386302994,0.217165727838719,0.0207530388378298,0.201415653720723,0.0126000592943967,0.00333530981322265,0.0502149421879632,0.095612214645716,0.130077082715683,0.0983916394900682,0.0854209902164245,0.000348354580492143,0.000307589682774978,0.0187147939519715,0.0572561517936555,0.00259412985472873,36232,38852,2155
"Clanton.Park",0.167860611947547,0.115954346770277,0.453496843127732,0.117472073822244,0.144184069936863,0.0242836328314716,0.254674599320058,0.0169985429820301,0.196090335114133,0.0121418164157358,0.00485672656629432,0.0664764448761535,0.136898980087421,0.146308887809616,0.0740650801359883,0.0661728994657601,0.000297474502185527,0.000455318115590092,0.0358183584264206,0.0558523555123847,0.00273190869354055,51181,50564,12237
"Cliffcrest",0.161593975525573,0.134609350486351,0.38092249764669,0.153435833071854,0.169124568559774,0.0232193285221211,0.249137119548164,0.0163162849074365,0.145591465327895,0.0106683401317854,0.00219642296830875,0.0476937558832758,0.112958895513022,0.108252274866646,0.0702855349858801,0.0875431440225918,0.000614998431126451,0.000596171948540948,0.0357703169124569,0.0555381236272356,0.00345152180734233,44718,45539,6613
"Corso.Italia.Davenport",0.135144696808887,0.109318616005094,0.490341753343239,0.123116111229038,0.142574117314088,0.0212269157291446,0.210854029576169,0.0353781928819076,0.213684285006722,0.023349607302059,0.0251185169461544,0.037500884454822,0.109318616005094,0.184674166843558,0.0948135569235123,0.0859690087030354,0.000523597254652232,0.000495294700346706,0.0300714639496215,0.102242977428713,0.00212269157291446,41717,44480,5538
"Danforth",0.173287812952617,0.0951789778605421,0.452100144837575,0.123629215807987,0.156734947237741,0.0201738050900062,0.15983860955928,0.016035588661287,0.236912890544175,0.0305193461618043,0.0305193461618043,0.0450031036623215,0.132940202772605,0.192944340989034,0.0677632940202773,0.0393130560728326,0.000610386923236085,0.000662114628595076,0.0491413200910408,0.0486240430374509,0.00103455410717981,55225,60085,5529
"Danforth.East.York",0.175785797438882,0.0844004656577416,0.461583236321304,0.124272409778813,0.15454016298021,0.0212456344586729,0.19674039580908,0.0206635622817229,0.19615832363213,0.0247380675203725,0.0232828870779977,0.0491850989522701,0.136204889406286,0.162689173457509,0.0736321303841676,0.0456926658905704,0.000366705471478463,0.000442374854481956,0.039871944121071,0.0550058207217695,0.00174621653084983,51846,56057,5183
"Don.Valley.Village",0.150271708994122,0.121252449077668,0.438431111604007,0.11626187571624,0.173745887397878,0.0245831947062955,0.216073342944808,0.018853277143174,0.170234002439836,0.0138627037817456,0.000739344201693098,0.0386307345384644,0.108498761598462,0.110901630253965,0.0645077815977228,0.101844663783224,0.000354885216812687,0.000351188495804222,0.0332704890761894,0.05249343832021,0.00628442571439133,37379,38701,6566
"Dorset.Park",0.169979602447706,0.126184857817062,0.419349678038635,0.13318401791785,0.151181858177019,0.0315962084549854,0.223173219213694,0.0239971203455585,0.170179578450586,0.0175978882534096,0.0021997360316762,0.0561932568091829,0.106787185537735,0.11018677758669,0.070591529016518,0.0963884333879934,0.000363956325240971,0.000403951525816902,0.0165980082390113,0.060792704875415,0.00359956805183378,31692,34113,2308
"Dovercourt.Wallace.Emerson.Junction",0.122320819112628,0.107167235494881,0.540341296928328,0.107440273037543,0.123276450511945,0.0162457337883959,0.159044368600683,0.0223890784982935,0.244368600682594,0.0331740614334471,0.054061433447099,0.042320819112628,0.145665529010239,0.1819795221843,0.0834129692832764,0.0675767918088737,0.00018839590443686,0.000207508532423208,0.0417747440273038,0.0835494880546075,0.00273037542662116,39740,42687,3777
"Downsview.Roding.CFB",0.163328768686523,0.123816044733539,0.429219445395413,0.124957206436152,0.15790825059911,0.0248202670318384,0.239786602761611,0.0302407851192514,0.173599224010042,0.0131233595800525,0.000285290425653315,0.0457891133173571,0.117967591007646,0.124529270797672,0.0730343489672487,0.0998516489786603,0.000216820723496519,0.000228232340522652,0.0121248430902659,0.083732739929248,0.000855871276959945,34168,36227,3639
"Dufferin.Grove",0.109036911327959,0.0903691132795927,0.566822231650403,0.104794229953331,0.128553245651252,0.0148493848112007,0.140432753500212,0.0156979210861264,0.255409418752652,0.0509121764955452,0.0657615613067459,0.0534577853203224,0.155706406448876,0.181586762834111,0.0776410691557064,0.0657615613067459,0.000610946117946542,0.000661858294442087,0.0568519304200255,0.0835808230801867,0.00169707254985151,40588,42507,5021
"East.End.Danforth",0.174687806931388,0.103362798746551,0.467237266732145,0.13119124456293,0.12394181750152,0.0144988541228193,0.193863710771246,0.0170712314671905,0.206257892521398,0.0285300032739348,0.0170712314671905,0.0500444319723119,0.109442963378701,0.15551190309153,0.0947102567700295,0.0603339413497965,0.000364809877929002,0.000406903325382349,0.0481736120854965,0.0540199242317946,0.00210467237266732,54324,58664,7144
"Edenbridge.Humber.Valley",0.136466044415835,0.116189250080463,0.38236240746701,0.153524299967815,0.211779851947216,0.0428065658191181,0.289024782748632,0.0222079176054071,0.129385259092372,0.0112648857418732,0.00257483102671387,0.0521403282909559,0.128741551335694,0.133247505632443,0.0769230769230769,0.0663018989378822,0.000418410041841004,0.000366913421306727,0.0498873511425813,0.0611522368844545,0.00225297714837464,101551,94418,41239
"Eglinton.East",0.183526519142958,0.1374253600281,0.403055848261328,0.124034070951879,0.153890059711978,0.0245872848612575,0.172989111345276,0.0195381102915349,0.201747453459782,0.00856164383561644,0.00043905865823674,0.0412715138742536,0.0807867931155602,0.10098349139445,0.0772743238496663,0.106910783280646,0.000513698630136986,0.000430277485072006,0.0111959957850369,0.0524675096592905,0.000878117316473481,30033,31208,2526
"Elms.Old.Rexdale",0.190884094754653,0.152284263959391,0.391285956006768,0.132719966159052,0.134835025380711,0.015334179357022,0.248519458544839,0.0264382402707276,0.140651438240271,0.00740270727580372,0.00211505922165821,0.0385998307952623,0.140122673434856,0.102051607445008,0.0571065989847716,0.0893612521150592,0.000983502538071066,0.00111040609137056,0.0116328257191201,0.0703257191201354,0.00211505922165821,32012,33188,3017
"Englemount.Lawrence",0.214777400321831,0.135437153584838,0.374798855712498,0.108617915251207,0.166502771321294,0.0426872876810299,0.173878061863043,0.0118451635973538,0.176336492043626,0.0263722510280708,0.00379939209726444,0.0654836402646165,0.0923028785982478,0.121133559806901,0.0692830323618809,0.0509565528338995,0.000379939209726444,0.000406758448060075,0.0379939209726444,0.0484981226533166,0.00111746826390131,48134,44910,19050
"Eringate.Centennial.West.Deane",0.141758123520551,0.129384549171508,0.371745211964708,0.153593716376157,0.20255003227889,0.0303959543791694,0.321712933075102,0.0250161394448031,0.104637400473424,0.00968366688185926,0.00188293522702819,0.0755863998278459,0.151979771895847,0.100333548525931,0.0543361308370992,0.0828491499892404,0.000392726490208737,0.000398106305143103,0.0346998063266624,0.0562190660641274,0.00268990746718313,47002,46587,5857
"Etobicoke.West.Mall",0.143062120189061,0.12322754895341,0.424122214719784,0.135043889264011,0.173869007427414,0.0426232275489534,0.268821742066171,0.0265867656988521,0.147704253882512,0.0168804861580014,0.00548615800135044,0.0784942606347063,0.131667792032411,0.0987508440243079,0.0611917623227549,0.0987508440243079,0.000607697501688049,0.000708980418636057,0.0274307900067522,0.0641458474004051,0.00295408507765024,38255,39198,3480
"Flemingdon.Park",0.199927050563078,0.139515798112433,0.41877536132768,0.106460584507363,0.135868326266357,0.0129941184516482,0.168923539871427,0.0118542834997492,0.1759905165732,0.0184653262207632,0.00227966990379793,0.0487849359412757,0.0857155883828022,0.0911867961519172,0.0736333378926731,0.0832079514886244,0.000483290019605161,0.000474171339989969,0.019833128163042,0.0565358136141887,0.00205170291341814,28654,30763,2946
"Forest.Hill.North",0.16086209589255,0.117132594096517,0.420896454786819,0.134702483210995,0.166718725597376,0.0273309386225207,0.227237232547243,0.0144463532719038,0.212400437295018,0.0218647508980166,0.00741839762611276,0.0577854130876152,0.137045135092925,0.176089333125098,0.0710604404185538,0.0488052475402155,0.000616898328908324,0.000570045291269717,0.0484148055598938,0.0441199437763548,0.00390441980321724,85099,74708,41604
"Forest.Hill.South",0.127189713007827,0.126257920238539,0.394614237793515,0.142564293701081,0.210585165859113,0.0302832650018636,0.21943719716735,0.0093179276928811,0.170518076779724,0.0265560939247111,0.0139768915393217,0.0610324263883712,0.18263138278047,0.129985091315691,0.0409988818486769,0.0344763324636601,0.00050316809541558,0.000531121878494223,0.084793142005218,0.0368058143868804,0.00512486023108461,204521,164751,102730
